Percentiles from observed record. Note that percentiles calculated for model runs exclude any days during which the observed record does not have a measurement
Percentile,Q1,Q5,Q10,Q30,Q50,Q70,Q90,Q95,Q99
,10.177,4.720,2.650,0.995,0.614,0.412,0.258,0.217,0.175,

Urban_STCoeff,Urban_GWCoeff,Urban_SoilTension,Arable_CMin,Arable_CMax,Arable_Evap,Arable_VarDist,Grassland_CMin,Grassland_CMax,Grassland_Evap,Grassland_VarDist,Forestry_CMin,Forestry_CMax,Forestry_Evap,Forestry_VarDist,Urban_CMin,Urban_CMax,Urban_Evap,Urban_VarDist,Urban_DirectBP,Urban_FTCoeff,Class_1_STCoeff,Class_1_GWCoeff,Class_1_SoilTension,Class_5_STCoeff,Class_5_GWCoeff,Class_5_SoilTension,Class_7_STCoeff,Class_7_GWCoeff,Class_7_SoilTension,Class_1_DirectBP,Class_5_DirectBP,Class_7_DirectBP,Class_1_FTCoeff,Class_5_FTCoeff,Class_7_FTCoeff,NSE_full_range,LogNSE_full_range,Not_used,Not_used,MARE,LogMARE,RMSE,VolError(%),Q1,Q5,Q10,Q30,Q50,Q70,Q90,Q95,Q99
0.1,0,0,0,608.512546200301,196.650691272416,2.44914179785306,0,789.708427020954,308.245911341105,0.749852740029991,0,445.365147712596,189.778375459493,0.242340460421527,0,12.2276954247062,2.37269785467419,0.1,0,44.5185560275754,0.1,0,0,932.828342141618,0.01,0.151639026703211,3135.25856316877,0.0748618800075259,0.14718839589396,0,0,0,1.0498036219835,10.4539498121627,48.0435563700544,0.806,0.823,-9999.000,-9999.000,0.340,0.180,0.858,0.208,7.717,4.447,2.988,1.181,0.624,0.407,0.266,0.235,0.182,
0.1,0,0,0,605.095191884353,196.171393616272,2.44508963369278,0,792.668705552728,310.503792116274,0.739606269864077,0,446.949736418903,188.178705787978,0.2390123180041,0,12.027839268968,2.32213585066707,0.1,0,45.5269609039118,0.1,0,0,928.389758453206,0.01,0.157486606068974,3155.47655208968,0.0510239539363189,0.150660293906853,0,0,0,1.0434014939624,10.5240756453094,49.664052446153,0.807,0.823,-9999.000,-9999.000,0.339,0.180,0.857,0.060,7.727,4.458,2.991,1.178,0.620,0.403,0.262,0.231,0.180,
0.1,0,0,0,602.635148732117,198.882468972483,2.45442443523952,0,787.836370405583,313.225680107488,0.732270194713315,0,448.453464234825,191.713148600156,0.23016144795523,0,12.0094034409644,2.31249291606271,0.1,0,45.1252202467779,0.1,0,0,935.833491429212,0.01,0.166402486797087,3149.5149103431,0.0525756098857615,0.145875891187326,0,0,0,1.03915158497855,10.1483934707246,49.1114220173471,0.808,0.821,-9999.000,-9999.000,0.340,0.178,0.854,0.267,7.753,4.480,3.004,1.183,0.619,0.401,0.259,0.230,0.178,
0.1,0,0,0,609.79755946876,196.952419186407,2.45204567669197,0,785.019752350044,305.932273475444,0.748427982528843,0,446.489766526879,187.696795271365,0.247322088338565,0,12.2650160489348,2.34987798290974,0.1,0,45.9939208155265,0.1,0,0,925.516187060964,0.01,0.154717145402068,3116.35743346978,0.0644849411263596,0.148054527698872,0,0,0,1.03998630864677,10.7356482366859,49.9281741375849,0.806,0.824,-9999.000,-9999.000,0.339,0.181,0.859,0.049,7.694,4.444,2.988,1.176,0.623,0.406,0.264,0.233,0.182,
0.1,0,0,0,600.676837089644,195.383218916617,2.45907019866241,0,787.094960830281,307.830997391315,0.747816918110019,0,449.137840449081,187.58940583912,0.2328883878583,0,12.069272274924,2.31413081678818,0.1,0,44.9570924270116,0.1,0,0,929.174652069234,0.01,0.155441353431838,3107.57377250106,0.0687903622782207,0.151868190177348,0,0,0,1.04641871847978,10.1892314411867,48.90788107205,0.809,0.822,-9999.000,-9999.000,0.342,0.178,0.853,0.702,7.769,4.481,3.009,1.189,0.623,0.405,0.264,0.233,0.181,
0.1,0,0,0,609.898441147818,197.123423574276,2.44292931642864,0,786.577296821908,311.665420451523,0.744405784372194,0,445.853567940865,187.774604012058,0.243091282996833,0,12.1074015124543,2.38506842582989,0.1,0,44.7347803238099,0.1,0,0,934.184639254527,0.01,0.157105176322553,3150.39314071783,0.0588602711730753,0.150034179724655,0,0,0,1.0472171463663,10.8887727288902,48.6356148820976,0.805,0.824,-9999.000,-9999.000,0.338,0.181,0.860,-0.181,7.680,4.428,2.980,1.176,0.622,0.404,0.263,0.232,0.181,
0.1,0,0,0,601.739832821162,195.729874941327,2.45731969625356,0,791.036649621646,309.897199466033,0.736573985883277,0,448.441618124163,187.707577982182,0.242187469803793,0,12.4315015329965,2.32605629303469,0.1,0,45.8809572624192,0.1,0,0,925.312133100464,0.01,0.151677285530642,3163.86900643683,0.0505778301814455,0.153812184588732,0,0,0,1.04871357571876,10.6130604603053,48.4592632061932,0.808,0.823,-9999.000,-9999.000,0.340,0.179,0.854,0.436,7.757,4.471,3.002,1.183,0.622,0.404,0.262,0.231,0.180,
0.1,0,0,0,600.310887975781,195.26593784048,2.44924268877679,0,791.247940796912,308.028211765317,0.735659561478542,0,448.51582358089,190.859359113497,0.245097698947536,0,12.9003655492351,2.37466459354018,0.1,0,45.2798876955165,0.1,0,0,933.255303533101,0.01,0.155196554709515,3175.15604572711,0.0657876043852419,0.147468851767555,0,0,0,1.03004816197664,10.8450796229192,49.3002757106712,0.808,0.823,-9999.000,-9999.000,0.341,0.178,0.854,0.518,7.747,4.489,2.991,1.184,0.623,0.405,0.263,0.233,0.181,
0.1,0,0,0,606.872343955175,196.717167054203,2.45268960421538,0,792.17367678402,311.683933288078,0.739357751054056,0,449.886516524469,189.768264103841,0.239994633656191,0,12.9832146219327,2.36323615517518,0.1,0,44.8895002920553,0.1,0,0,933.728202675132,0.01,0.162548383305883,3196.95889858594,0.052603922108945,0.151093245636285,0,0,0,1.04954971614152,10.689374778531,48.4009220613288,0.807,0.823,-9999.000,-9999.000,0.338,0.180,0.857,-0.121,7.727,4.450,2.990,1.174,0.618,0.400,0.259,0.229,0.177,
0.1,0,0,0,608.249028601772,199.24355800027,2.44184874489507,0,789.532269774852,307.668934724457,0.731874398235809,0,447.345028261861,191.810894383315,0.232566682002824,0,12.4609075824106,2.39314099922315,0.1,0,45.4450598725509,0.1,0,0,936.696870539316,0.01,0.160587079657223,3112.90632755989,0.0584882061159704,0.147698544854997,0,0,0,1.03391341943855,10.5778925328036,48.4327596324179,0.806,0.823,-9999.000,-9999.000,0.338,0.181,0.858,-0.196,7.691,4.447,2.982,1.175,0.619,0.402,0.262,0.231,0.179,
