Percentiles from observed record. Note that percentiles calculated for model runs exclude any days during which the observed record does not have a measurement
Percentile,Q1,Q5,Q10,Q30,Q50,Q70,Q90,Q95,Q99
,10.177,4.720,2.650,0.995,0.614,0.412,0.258,0.217,0.175,

Urban_STCoeff,Urban_GWCoeff,Urban_SoilTension,Arable_CMin,Arable_CMax,Arable_Evap,Arable_VarDist,Grassland_CMin,Grassland_CMax,Grassland_Evap,Grassland_VarDist,Forestry_CMin,Forestry_CMax,Forestry_Evap,Forestry_VarDist,Urban_CMin,Urban_CMax,Urban_Evap,Urban_VarDist,Urban_DirectBP,Urban_FTCoeff,Class_1_STCoeff,Class_1_GWCoeff,Class_1_SoilTension,Class_5_STCoeff,Class_5_GWCoeff,Class_5_SoilTension,Class_7_STCoeff,Class_7_GWCoeff,Class_7_SoilTension,Class_1_DirectBP,Class_5_DirectBP,Class_7_DirectBP,Class_1_FTCoeff,Class_5_FTCoeff,Class_7_FTCoeff,NSE_full_range,LogNSE_full_range,Not_used,Not_used,MARE,LogMARE,RMSE,VolError(%),Q1,Q5,Q10,Q30,Q50,Q70,Q90,Q95,Q99
0.1,0,0,0,604.818241685162,199.534868480556,2.44948781970125,0,788.124181424009,306.885923750787,0.749186367323426,0,448.844527558078,190.543770587821,0.249070127066113,0,12.2993664595548,2.39061620244533,0.1,0,45.7438117287373,0.1,0,0,926.63355541904,0.01,0.16601856382714,3104.97123536185,0.0718003323504003,0.145647885101278,0,0,0,1.04639430289216,10.5885178731769,48.4290775086586,0.807,0.823,-9999.000,-9999.000,0.339,0.179,0.856,0.220,7.737,4.464,2.995,1.180,0.621,0.404,0.262,0.232,0.180,
0.1,0,0,0,607.087115012082,195.804515741502,2.45456226385325,0,786.963043899354,308.876428464572,0.73827063656128,0,449.19137537213,191.3374327889,0.234909730352247,0,12.6770553121937,2.33076074294462,0.1,0,45.4893336064388,0.1,0,0,939.956191194539,0.01,0.169017230093932,3169.60180341022,0.0551406758381985,0.148317511160962,0,0,0,1.03333565093608,10.7769603033408,48.6131181448112,0.807,0.823,-9999.000,-9999.000,0.338,0.180,0.856,-0.103,7.717,4.463,2.987,1.178,0.618,0.400,0.258,0.228,0.177,
0.1,0,0,0,608.742131654434,196.233711081401,2.4416416743592,0,794.466157682608,310.546978181466,0.740252700627418,0,447.839465617749,190.242642377773,0.248087253098944,0,12.3022922010375,2.34370383747825,0.1,0,45.3350216132244,0.1,0,0,937.362055368917,0.01,0.154387883784883,3152.26025610501,0.0734479571156437,0.146098247656254,0,0,0,1.03702659398532,10.5741115324697,49.632543460004,0.806,0.823,-9999.000,-9999.000,0.340,0.181,0.859,0.040,7.687,4.443,2.982,1.176,0.623,0.406,0.266,0.235,0.182,
0.1,0,0,0,608.969027346605,198.692619957058,2.44721412941938,0,793.745703619323,311.667690578202,0.742081417509932,0,445.985268401282,189.161934631461,0.240320585167175,0,12.5665666882824,2.34281002637809,0.1,0,44.1051017829366,0.1,0,0,936.841711868357,0.01,0.154245197121259,3185.28483380196,0.0693906425429392,0.145898747409017,0,0,0,1.03252140742137,10.3649546929128,48.7990555095766,0.806,0.823,-9999.000,-9999.000,0.340,0.180,0.858,0.043,7.702,4.454,2.986,1.179,0.621,0.405,0.264,0.233,0.181,
0.1,0,0,0,606.35811293914,199.237254749055,2.44565731170138,0,792.809816189632,311.798920763168,0.744903038676446,0,445.939230000444,189.788005379492,0.240885286737084,0,12.1236093187784,2.38586561931302,0.1,0,45.8998549764454,0.1,0,0,928.309047062886,0.01,0.159595239381921,3188.5810068937,0.0518743305324693,0.154084916748861,0,0,0,1.04142896142382,10.0095002564463,49.052609426639,0.807,0.822,-9999.000,-9999.000,0.339,0.180,0.856,-0.087,7.727,4.459,2.987,1.176,0.617,0.401,0.260,0.230,0.179,
0.1,0,0,0,602.763013122245,196.009102758081,2.44989165980248,0,788.529862173321,310.039098418136,0.749222621259717,0,448.482726698711,190.756190231848,0.240117742622374,0,12.6492352426266,2.3641531767061,0.1,0,44.940972780087,0.1,0,0,928.097296893047,0.01,0.155262616557889,3181.71332133586,0.073488167298655,0.152582435703292,0,0,0,1.03789010747063,10.2196524311882,48.2193750870843,0.808,0.822,-9999.000,-9999.000,0.341,0.179,0.854,0.410,7.752,4.483,3.000,1.185,0.621,0.404,0.263,0.233,0.181,
0.1,0,0,0,601.963204447611,197.778082131129,2.44680411480892,0,787.289681780445,311.618985378615,0.73592612769163,0,445.06666462268,190.015435483023,0.238866596056474,0,12.1796904129158,2.31470396323052,0.1,0,44.8038023904507,0.1,0,0,937.079783261938,0.01,0.161073443083351,3107.50606498444,0.0637270372110796,0.154243979299711,0,0,0,1.04847625222696,10.2737295658087,48.2035604240359,0.808,0.822,-9999.000,-9999.000,0.340,0.179,0.855,0.292,7.753,4.467,3.000,1.184,0.620,0.403,0.261,0.231,0.179,
0.1,0,0,0,606.523616050079,197.179459843352,2.44885528785976,0,786.384515551627,314.099199129228,0.743990330391658,0,446.285657751348,187.884102288867,0.231019515169971,0,12.7064320746614,2.32557516001568,0.1,0,45.9335324801344,0.1,0,0,927.635719562161,0.01,0.161532722195892,3134.09859815268,0.0706537278475445,0.153287850133767,0,0,0,1.04207396150269,10.2782753868167,49.0897665821048,0.807,0.823,-9999.000,-9999.000,0.339,0.180,0.857,0.035,7.726,4.459,2.989,1.177,0.619,0.402,0.261,0.231,0.179,
0.1,0,0,0,606.782642339063,197.260412935035,2.44885528785976,0,786.092327820152,311.59260190614,0.744217868690165,0,446.26494298538,187.639061565779,0.231019515169971,0,12.7064320746614,2.32514473755634,0.1,0,45.9752270247722,0.1,0,0,927.635719562161,0.01,0.161496537758959,3140.39847256085,0.0705823985028197,0.153287850133767,0,0,0,1.04835050959842,10.2735808311477,49.2598137806752,0.807,0.823,-9999.000,-9999.000,0.339,0.180,0.857,0.020,7.728,4.453,2.991,1.178,0.619,0.402,0.261,0.231,0.179,
0.1,0,0,0,608.969027346605,198.03508258702,2.44374199202988,0,793.745703619323,313.322114870986,0.742081417509932,0,445.985268401282,189.83136580731,0.239777985911235,0,12.5665666882824,2.34178933154926,0.1,0,44.1051017829366,0.1,0,0,936.841711868357,0.01,0.154245197121259,3185.28483380196,0.0693906425429392,0.146727213805335,0,0,0,1.03252140742137,10.3649546929128,48.7990555095766,0.806,0.823,-9999.000,-9999.000,0.340,0.180,0.858,-0.012,7.697,4.450,2.984,1.177,0.620,0.405,0.264,0.233,0.181,
